timestamp,source,label,count,bboxes
2025-09-09T22:58:39.191151,0,Single face detected,1,"[(200, 231, 166, 166)]"
2025-09-09T22:58:39.708264,0,No face detected,0,[]
2025-09-09T22:58:39.744016,0,Single face detected,1,"[(200, 232, 166, 166)]"
2025-09-09T22:58:39.986307,0,No face detected,0,[]
2025-09-09T22:58:40.047751,0,Single face detected,1,"[(201, 232, 163, 163)]"
2025-09-09T22:58:40.162214,0,No face detected,0,[]
2025-09-09T22:58:40.197336,0,Single face detected,1,"[(207, 229, 158, 158)]"
2025-09-09T22:58:40.293730,0,No face detected,0,[]
2025-09-09T22:58:40.323988,0,Single face detected,1,"[(199, 223, 170, 170)]"
2025-09-09T22:58:40.592628,0,No face detected,0,[]
2025-09-09T22:58:40.626035,0,Single face detected,1,"[(194, 222, 178, 178)]"
2025-09-09T22:58:46.416783,0,No face detected,0,[]
2025-09-09T22:58:47.461267,0,Single face detected,1,"[(126, 358, 86, 86)]"
2025-09-09T22:58:47.550974,0,2 faces detected,2,"[(131, 365, 74, 74), (136, 209, 216, 216)]"
2025-09-09T22:58:47.603556,0,Single face detected,1,"[(131, 210, 205, 205)]"
2025-09-09T22:58:47.751701,0,2 faces detected,2,"[(123, 197, 202, 202), (128, 364, 82, 82)]"
2025-09-09T22:58:47.917657,0,Single face detected,1,"[(119, 186, 202, 202)]"
2025-09-09T22:58:48.246716,0,No face detected,0,[]
2025-09-09T22:58:49.313991,0,Single face detected,1,"[(134, 366, 73, 73)]"
2025-09-09T22:58:49.605679,0,No face detected,0,[]
2025-09-09T22:58:50.804736,0,Single face detected,1,"[(133, 367, 76, 76)]"
2025-09-09T22:58:50.863123,0,No face detected,0,[]
2025-09-09T22:58:50.915106,0,Single face detected,1,"[(134, 371, 72, 72)]"
2025-09-09T22:58:51.016350,0,No face detected,0,[]
2025-09-09T22:58:51.478764,0,Single face detected,1,"[(134, 369, 72, 72)]"
2025-09-09T22:58:51.545978,0,No face detected,0,[]
2025-09-09T22:58:52.036449,0,Single face detected,1,"[(204, 202, 179, 179)]"
2025-09-09T22:58:52.323213,0,No face detected,0,[]
2025-09-09T22:58:52.424542,0,Single face detected,1,"[(198, 197, 149, 149)]"
2025-09-09T22:58:52.725696,0,No face detected,0,[]
2025-09-09T22:58:53.467446,0,Single face detected,1,"[(193, 219, 175, 175)]"
2025-09-09T22:58:53.848720,0,No face detected,0,[]
2025-09-09T22:58:54.161637,0,Single face detected,1,"[(235, 265, 143, 143)]"
